,alpha,accuracy,time
0,0.0,0.8336,0.18675613403320312
1,0.30000000000000004,0.4396,0.3814213275909424
2,0.6000000000000001,0.4396,0.6057682037353516
3,0.8999999999999999,0.4396,0.81899094581604
4,1.2000000000000002,0.4396,1.0224645137786865
5,1.5,0.4396,1.2325339317321777
6,1.7999999999999998,0.4396,1.4396309852600098
7,2.0999999999999996,0.4396,1.6675903797149658
8,2.4000000000000004,0.4396,1.8695180416107178
9,2.7,0.4396,2.083130121231079
10,0.0,0.8336,0.2037515640258789
11,0.020000000000000004,0.4396,0.42682886123657227
12,0.04000000000000001,0.4396,0.6672484874725342
13,0.06,0.4396,0.8936805725097656
14,0.08000000000000002,0.4396,1.1189548969268799
15,0.1,0.4396,1.3253812789916992
16,0.12,0.4396,1.534780502319336
17,0.13999999999999999,0.4396,1.7702140808105469
18,0.16000000000000003,0.4396,1.9939990043640137
19,0.18000000000000002,0.4396,2.1984448432922363
20,0.0,0.8336,0.1857461929321289
21,0.002,0.5148,0.4112520217895508
22,0.004,0.4824,0.6507999897003174
23,0.006,0.4396,0.8915057182312012
24,0.008,0.4396,1.117591142654419
25,0.01,0.4396,1.400158166885376
26,0.012,0.4396,1.642460584640503
27,0.013999999999999999,0.4396,1.867246389389038
28,0.016,0.4396,2.07338547706604
29,0.018000000000000002,0.4396,2.2790558338165283
30,0.0,0.8336,0.20228219032287598
31,0.0002,0.7712,0.41467738151550293
32,0.0004,0.6904,0.6393420696258545
33,0.0006,0.6168,0.849355936050415
34,0.0008,0.5828,1.0735771656036377
35,0.001,0.5488,1.2851896286010742
36,0.0012,0.5368,1.4970521926879883
37,0.0014,0.518,1.7053813934326172
38,0.0016,0.5168,1.9215302467346191
39,0.0018000000000000002,0.5148,2.1633760929107666
40,0.0,0.8336,0.19377589225769043
41,2e-05,0.8368,0.48078036308288574
42,4e-05,0.8368,0.7549550533294678
43,6e-05,0.8276,1.0729854106903076
44,8e-05,0.8216,1.3262615203857422
45,0.0001,0.8112,1.5445923805236816
46,0.00012,0.8084,1.7627418041229248
47,0.00014,0.798,1.9682302474975586
48,0.00016,0.784,2.173006057739258
49,0.00018,0.7788,2.378171443939209
50,0.0,0.8336,0.18865275382995605
51,4.000000000000001e-06,0.8336,0.3789186477661133
52,8.000000000000001e-06,0.8348,0.5815365314483643
53,1.2e-05,0.8348,0.7744767665863037
54,1.6000000000000003e-05,0.836,0.9615442752838135
55,2e-05,0.8368,1.1657536029815674
56,2.4e-05,0.8368,1.3734149932861328
57,2.8e-05,0.8368,1.5830514430999756
58,3.2000000000000005e-05,0.838,1.7835235595703125
59,3.6e-05,0.8384,1.9790785312652588
60,3.4e-05,0.838,0.18929672241210938
61,3.44e-05,0.838,0.39986324310302734
62,3.48e-05,0.838,0.5877053737640381
63,3.52e-05,0.838,0.7826261520385742
64,3.56e-05,0.838,0.9693193435668945
65,3.6e-05,0.8384,1.157165765762329
66,3.6400000000000004e-05,0.8384,1.3469364643096924
67,3.68e-05,0.838,1.5446839332580566
68,3.72e-05,0.838,1.7760260105133057
69,3.76e-05,0.838,1.9789860248565674
