weights,accuracy,time
"[0.9, 1, 1.1, 1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.9]",0.9084,41.53120398521423
"[0.9900000000000001, 1, 1.1, 0.9, 1, 1.1, 1, 1, 1, 1, 0.9, 1.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 0.9]",0.9112,30.41337275505066
"[0.9900000000000001, 1, 1.1, 0.9900000000000001, 1, 1.1, 1, 1, 1, 1.1, 0.9, 1.1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 0.9]",0.9164,36.221487283706665
"[0.9900000000000001, 1, 1.1, 0.9900000000000001, 0.9, 1.1, 1, 1, 1, 1.1, 0.9, 1.1, 1, 0.9, 1.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 0.9]",0.9108,35.388606786727905
"[0.9900000000000001, 1, 1.1, 0.9900000000000001, 0.9, 1.1, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 1, 0.9, 1.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 0.9]",0.9116,31.04194664955139
"[0.9900000000000001, 0.9, 1.1, 0.9900000000000001, 0.9, 1.1, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 1, 0.9, 1.1, 1, 1, 1, 0.9, 1, 1, 1, 1, 0.9, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.9, 1, 1, 1, 0.9]",0.9096,30.80120539665222
"[0.9900000000000001, 0.9, 1.1, 1.0890000000000002, 0.9900000000000001, 1.1, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 0.9, 0.9, 1.1, 1, 1, 1.1, 0.9, 1, 1, 1, 1.1, 0.9, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.81, 1, 1, 1, 0.9]",0.9116,28.08708906173706
"[1.0890000000000002, 0.9, 1.1, 1.0890000000000002, 0.9900000000000001, 1.1, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 0.9, 0.9, 1.1, 1, 1, 1.1, 0.9, 1, 1, 1, 1.1, 0.9, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.81, 1, 1, 1, 0.9]",0.914,38.189148902893066
"[1.0890000000000002, 0.9, 1.1, 1.0890000000000002, 0.9900000000000001, 0.9900000000000001, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 0.9, 0.9, 1.1, 1, 1, 1.1, 0.9, 1, 1, 1, 1.1, 0.9, 1.1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.81, 1, 1, 1, 0.9]",0.9132,40.57379651069641
"[0.9801000000000002, 0.81, 1.1, 1.0890000000000002, 0.9900000000000001, 0.9900000000000001, 1, 1, 1, 0.9900000000000001, 0.9, 1.1, 0.9, 0.9, 1.1, 1, 1, 1.1, 0.9, 1, 1, 1, 1.1, 0.9, 1.1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 0.81, 1, 1, 1, 0.9]",0.9116,33.6512405872345
