weights,accuracy,time
"[1, 1, 1, 1.1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 1.1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",0.57,1.3252887725830078
"[1.1, 1.1, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.54,2.187742233276367
"[1.1, 1.1, 1.0, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.5,2.3345370292663574
"[1.1, 1.1, 1.0, 1.0890000000000002, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.45,2.268795967102051
"[1.1, 1.1, 0.9, 1.0890000000000002, 1.0, 1.0, 1.2100000000000002, 1.0, 0.9, 1.0, 1.0, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.46,2.1287143230438232
"[1.1, 1.1, 0.9900000000000001, 1.0890000000000002, 1.0, 1.0, 1.2100000000000002, 1.0, 0.9, 1.0, 1.1, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.53,2.0838611125946045
"[1.2100000000000002, 1.1, 0.9900000000000001, 1.0890000000000002, 1.0, 1.0, 1.2100000000000002, 1.0, 0.9, 1.0, 1.1, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.48,2.118272542953491
"[1.2100000000000002, 1.1, 1.0890000000000002, 1.0890000000000002, 1.1, 1.0, 1.2100000000000002, 1.0, 0.9, 1.0, 1.1, 1.0, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.55,2.2835755348205566
"[1.3310000000000004, 1.1, 1.0890000000000002, 1.0890000000000002, 1.1, 1.0, 1.2100000000000002, 1.0, 0.9, 1.0, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.52,1.966125965118408
"[1.3310000000000004, 1.2100000000000002, 1.0890000000000002, 1.0890000000000002, 1.1, 0.9, 1.3310000000000004, 1.0, 0.9, 1.0, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.54,1.800051212310791
"[1.4641000000000006, 1.2100000000000002, 1.1979000000000004, 1.0890000000000002, 1.1, 0.9, 1.3310000000000004, 0.9, 0.9, 1.0, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.1, 1.0, 1.0, 1.0, 1.1, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.54,1.94571852684021
"[1.6105100000000008, 1.3310000000000004, 1.1979000000000004, 0.9801000000000002, 1.2100000000000002, 0.9, 1.3310000000000004, 0.9, 0.9, 1.0, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.59,2.7459967136383057
"[1.771561000000001, 1.3310000000000004, 1.1979000000000004, 0.9801000000000002, 1.2100000000000002, 0.9, 1.4641000000000006, 0.9, 0.9, 1.0, 1.2100000000000002, 0.9, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.1, 1.0, 1.1, 1.0, 0.9, 1.0, 1.0, 1.0, 0.9, 1.0, 1.2100000000000002, 1.0, 1.0, 1.1, 1.2100000000000002, 1.1, 1.0, 1.0, 1.0, 1.0, 1.0, 1.1, 1.0, 1.0, 1.0]",0.49,1.8248298168182373
