n,accuracy,time
1,0.39,0.0316164493560791
4,0.46,0.01824641227722168
7,0.43,0.01795220375061035
10,0.39,0.017508268356323242
13,0.5,0.01690530776977539
16,0.5,0.016168594360351562
19,0.49,0.021947145462036133
22,0.47,0.01689887046813965
25,0.49,0.017783403396606445
28,0.53,0.018194913864135742
31,0.54,0.01795029640197754
34,0.54,0.01786208152770996
37,0.54,0.01718878746032715
40,0.52,0.01897144317626953
43,0.54,0.017820358276367188
46,0.51,0.01714181900024414
49,0.51,0.01798081398010254
52,0.53,0.021007776260375977
55,0.54,0.01689434051513672
58,0.56,0.01802349090576172
61,0.53,0.0187833309173584
64,0.54,0.016976356506347656
67,0.54,0.017970800399780273
70,0.53,0.019985675811767578
73,0.5,0.017199993133544922
