games,decisions,time,value_error,policy_error
100,130,9.8232102394104,2915.7715904191614,11189
200,265,20.22903847694397,2955.6007277848257,10863
300,395,30.24953818321228,3021.1302450526528,9249
400,527,40.02934145927429,3114.578224797152,6879
500,660,49.99274396896362,3178.6334588159893,5651
600,799,60.839967012405396,3251.493396402211,5076
700,933,72.5340633392334,3314.1412914712982,4748
800,1070,86.79268312454224,3347.6375780540598,4409
900,1220,103.42885065078735,3406.878824325788,4592
1000,1355,118.02131628990173,3386.2205770029523,3965
1100,1496,132.9638786315918,3489.6087914533937,4191
1200,1630,147.22904682159424,3464.2326887400304,4235
1300,1770,162.09169363975525,3504.449101976716,4290
1400,1903,175.99383544921875,3568.366944225457,4783
1500,2034,189.15318179130554,3604.4695344946335,4561
1600,2164,202.94087648391724,3584.296253199933,4272
1700,2297,216.89553356170654,3607.8561089865666,4620
1800,2430,231.06073546409607,3626.560803582126,4762
1900,2571,246.61107349395752,3570.298697977013,4576
2000,2708,261.079306602478,3546.694268105026,4219
2100,2855,277.9484393596649,3540.77752512432,4702
2200,2993,292.8879759311676,3549.5898157610536,4651
2300,3130,307.86865305900574,3501.104120987653,4693
2400,3265,322.6889662742615,3545.5930456844003,5023
2500,3416,340.0700936317444,3553.57620465845,5304
2600,3561,356.53851294517517,3531.693023550285,5166
2700,3692,370.3774924278259,3499.0106871337634,5059
2800,3834,386.22245740890503,3459.671905207214,5084
2900,3973,401.2538893222809,3400.0333575471295,4898
3000,4107,415.60138463974,3407.0126315606053,4973
3100,4237,429.68286061286926,3401.754731601281,5000
3200,4372,444.3899962902069,3350.911340007854,4891
3300,4511,459.912789106369,3355.562353015892,5051
3400,4647,474.89523005485535,3390.824247714576,5183
3500,4780,489.07760667800903,3354.6663866034723,5019
3600,4930,505.5966708660126,3364.2335720469405,5135
3700,5059,519.340815782547,3337.008120386236,5254
3800,5195,534.3593063354492,3324.4825803237836,5125
3900,5339,550.4331493377686,3304.492504358518,5147
4000,5465,562.1675562858582,3289.9528628686776,5250
4100,5604,572.6549408435822,3296.4127476300664,5396
4200,5740,582.81862616539,3260.259222808365,5346
4300,5875,592.8694207668304,3307.6171822368647,5390
4400,6013,603.1989576816559,3302.7887072391804,5408
4500,6155,617.5373177528381,3294.0751777402384,5214
4600,6289,632.3147468566895,3264.8071691173336,5189
4700,6428,647.3029172420502,3231.58778196788,5360
4800,6568,662.3748414516449,3283.4082523478764,5220
4900,6704,676.7318367958069,3227.6752470149086,5296
5000,6839,690.4078731536865,3238.9195538190843,5314
5100,6975,704.7407257556915,3224.8983285807785,5321
5200,7116,720.6899380683899,3246.826472970117,5414
5300,7248,735.1231634616852,3242.8368843413305,5450
5400,7401,754.4197313785553,3213.036543816481,5497
