hand_value,soft_hand,dealer_card,occurrence,hit_frequency,stay_frequency,expected_value
4,False,1,6.842753524018066e-05,1.0,0.0,-0.4477547583419852
5,False,1,6.842753524018066e-05,1.0,0.0,-0.47246009206941797
6,False,1,0.00020528260572054194,1.0,0.0,-0.5006006861206638
7,False,1,0.00020528260572054194,1.0,0.0,-0.5256254066856093
8,False,1,0.0004105652114410839,1.0,0.0,-0.46813291835483134
9,False,1,0.00047899274668126453,1.0,0.0,-0.396850745929116
10,False,1,0.0007527028876419871,1.0,0.0,-0.27878977342792477
11,False,1,0.0008895579581223484,1.0,0.0,-0.16413030015753077
12,False,1,0.0038319419734501163,1.0,0.0,-0.4195052894263129
13,False,1,0.004584644861092104,1.0,0.0,-0.4810973308211561
14,False,1,0.005679485424934994,1.0,0.0,-0.5346071781563364
15,False,1,0.006705898453537704,1.0,0.0,-0.595141111102267
16,False,1,0.008006021623101135,1.0,0.0,-0.6569594495325314
17,False,1,0.009169289722184207,0.31343283582089554,0.6865671641791045,-0.6933155775491584
18,False,1,0.010743123032708362,0.0,1.0,-0.5044562196644241
19,False,1,0.011974818667031614,0.0,1.0,-0.2724044627137871
20,False,1,0.013617079512795949,0.0,1.0,-0.03571489577970417
21,False,1,0.014917202682359382,0.0,1.0,0.4383162280930356
4,True,1,0.0,,,
5,True,1,0.0,,,
6,True,1,0.0,,,
7,True,1,0.0,,,
8,True,1,0.0,,,
9,True,1,0.0,,,
10,True,1,0.0,,,
11,True,1,0.0,,,
12,True,1,6.842753524018066e-05,1.0,0.0,-0.3069183887336329
13,True,1,0.0001368550704803613,1.0,0.0,-0.3334820793051
14,True,1,0.00020528260572054194,1.0,0.0,-0.32789923831812623
15,True,1,0.0003421376762009032,1.0,0.0,-0.25700385843960716
16,True,1,0.00047899274668126453,1.0,0.0,-0.1701107842892881
17,True,1,0.0006842753524018064,1.0,0.0,-0.25690081623685745
18,True,1,0.0008895579581223484,1.0,0.0,-0.17336441168796834
19,True,1,0.0012316956343232516,0.4444444444444444,0.5555555555555556,-0.06964970976056065
20,True,1,0.001573833310524155,0.21739130434782608,0.782608695652174,0.1463371097901454
21,True,1,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.5451116447936755
4,False,2,6.842753524018066e-05,1.0,0.0,-0.20692175791285972
5,False,2,6.842753524018066e-05,1.0,0.0,-0.22397675944624731
6,False,2,0.00020528260572054194,1.0,0.0,-0.24135861355972435
7,False,2,0.00020528260572054194,1.0,0.0,-0.213433552310104
8,False,2,0.0004105652114410839,1.0,0.0,-0.13618281370999208
9,False,2,0.00047899274668126453,1.0,0.0,-0.04515882441337473
10,False,2,0.0007527028876419871,1.0,0.0,0.07746822577382542
11,False,2,0.0008895579581223484,1.0,0.0,0.1308028299196948
12,False,2,0.0038319419734501163,1.0,0.0,-0.2466669760767153
13,False,2,0.004584644861092104,0.373134328358209,0.6268656716417911,-0.3085898254545974
14,False,2,0.005679485424934994,0.24096385542168675,0.7590361445783133,-0.3362896522677287
15,False,2,0.006705898453537704,0.24489795918367346,0.7551020408163265,-0.37108081397035336
16,False,2,0.008006021623101135,0.0,1.0,-0.3821713802890519
17,False,2,0.009169289722184207,0.0,1.0,-0.2576451082409453
18,False,2,0.010743123032708362,0.0,1.0,-0.01096051474143028
19,False,2,0.011974818667031614,0.0,1.0,0.23218034055122103
20,False,2,0.013617079512795949,0.0,1.0,0.4693272783521327
21,False,2,0.014917202682359382,0.0,1.0,0.6988046256679034
4,True,2,0.0,,,
5,True,2,0.0,,,
6,True,2,0.0,,,
7,True,2,0.0,,,
8,True,2,0.0,,,
9,True,2,0.0,,,
10,True,2,0.0,,,
11,True,2,0.0,,,
12,True,2,6.842753524018066e-05,1.0,0.0,-0.02641962791622873
13,True,2,0.0001368550704803613,1.0,0.0,-0.06714493551179368
14,True,2,0.00020528260572054194,1.0,0.0,-0.0811352497241323
15,True,2,0.0003421376762009032,1.0,0.0,-0.04905886983810748
16,True,2,0.00047899274668126453,1.0,0.0,0.025131877376323435
17,True,2,0.0006842753524018064,1.0,0.0,-0.011822188663603784
18,True,2,0.0008895579581223484,0.38461538461538464,0.6153846153846154,0.11370957899564721
19,True,2,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.32321542423328653
20,True,2,0.001573833310524155,0.21739130434782608,0.782608695652174,0.5368965348428644
21,True,2,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.733201044246378
4,False,3,6.842753524018066e-05,1.0,0.0,-0.18361566046755762
5,False,3,6.842753524018066e-05,1.0,0.0,-0.19923337025238996
6,False,3,0.00020528260572054194,1.0,0.0,-0.2142295950392824
7,False,3,0.00020528260572054194,1.0,0.0,-0.18547876059667087
8,False,3,0.0004105652114410839,1.0,0.0,-0.11063787073051379
9,False,3,0.00047899274668126453,1.0,0.0,-0.011420904927871095
10,False,3,0.0007527028876419871,1.0,0.0,0.09847789855295641
11,False,3,0.0008895579581223484,1.0,0.0,0.14843319016160078
12,False,3,0.0038319419734501163,1.0,0.0,-0.2319034017967952
13,False,3,0.004584644861092104,0.2537313432835821,0.746268656716418,-0.27646971963007116
14,False,3,0.005679485424934994,0.24096385542168675,0.7590361445783133,-0.3028616547320438
15,False,3,0.006705898453537704,0.12244897959183673,0.8775510204081632,-0.3355422804310646
16,False,3,0.008006021623101135,0.0,1.0,-0.33730883843487103
17,False,3,0.009169289722184207,0.0,1.0,-0.2182747924834628
18,False,3,0.010743123032708362,0.0,1.0,0.017081989680612298
19,False,3,0.011974818667031614,0.0,1.0,0.2502348326332845
20,False,3,0.013617079512795949,0.0,1.0,0.4787752062268677
21,False,3,0.014917202682359382,0.0,1.0,0.7002340994543907
4,True,3,0.0,,,
5,True,3,0.0,,,
6,True,3,0.0,,,
7,True,3,0.0,,,
8,True,3,0.0,,,
9,True,3,0.0,,,
10,True,3,0.0,,,
11,True,3,0.0,,,
12,True,3,6.842753524018066e-05,1.0,0.0,-0.008907344924848255
13,True,3,0.0001368550704803613,1.0,0.0,-0.048477242794654735
14,True,3,0.00020528260572054194,1.0,0.0,-0.0624112628855478
15,True,3,0.0003421376762009032,1.0,0.0,-0.03288814654530947
16,True,3,0.00047899274668126453,1.0,0.0,0.040541712109628904
17,True,3,0.0006842753524018064,1.0,0.0,0.004766427712155607
18,True,3,0.0008895579581223484,0.38461538461538464,0.6153846153846154,0.13232589084063873
19,True,3,0.0012316956343232516,0.16666666666666666,0.8333333333333334,0.33671799838329747
20,True,3,0.001573833310524155,0.21739130434782608,0.782608695652174,0.5422241288792662
21,True,3,0.0020528260572054194,0.23333333333333334,0.7666666666666667,0.7334882252131071
