parameter,value,score,string_length
pop_size,200.0,2.1373769140675347e+91,100
pop_size,100.0,1.5658387036480544e+170,100
pop_size,130.0,9.94551778188687e+93,100
pop_size,160.0,2.1195062277467163e+88,100
pop_size,190.0,9.787633306380607e+48,100
pop_size,220.0,4.564915017111894e+90,100
pop_size,250.0,3.3066738340723165e+63,100
pop_size,280.0,4.4388660798914657e+117,100
pop_size,310.0,4.0636446176371244e+65,100
pop_size,340.0,1.3908506673616788e+161,100
pop_size,370.0,2.535066415463018e+65,100
pop_size,400.0,4.569674597660426e+117,100
mutation_prob,0.1,4.516876322882695e+90,100
mutation_prob,0.01,4.297791254933993e+41,100
mutation_prob,0.0141253754462275,4.882847098263343e+86,100
mutation_prob,0.0199526231496888,9.666683959781698e+33,100
mutation_prob,0.0281838293126445,1.0929113288245944e+81,100
mutation_prob,0.0398107170553497,2.6262424610931565e+76,100
mutation_prob,0.0562341325190349,3.338111818078276e+138,100
mutation_prob,0.0794328234724281,3.669971457161914e+101,100
mutation_prob,0.1122018454301963,2.3461382910702988e+52,100
mutation_prob,0.1584893192461114,4.3822452466433637e+117,100
mutation_prob,0.2238721138568339,1.1495783525636444e+111,100
mutation_prob,0.3162277660168379,5.532098490044118e+195,100
max_attempts,10.0,2.9177746071165306e+94,100
max_attempts,5.0,2.5588879044857327e+96,100
max_attempts,7.0,3.109183793581901e+147,100
max_attempts,8.0,6.57688697368775e+90,100
max_attempts,9.0,9.993376100539986e+49,100
max_attempts,11.0,3.994474536866858e+73,100
max_attempts,12.0,3.157329658434508e+147,100
max_attempts,14.0,9.242660038577155e+196,100
max_attempts,16.0,2.605929350513665e+96,100
max_attempts,17.0,2.3377351150422576e+31,100
max_attempts,18.0,2.0353571330742053e+165,100
max_attempts,20.0,7.157868667095584e+107,100
pop_size,190.0,1.7287252334741622e+39,100
pop_size,95.0,2.5083146532122643e+65,100
pop_size,123.0,4.470249636625455e+48,100
pop_size,152.0,4.027657532681056e+56,100
pop_size,180.0,2.103880911290261e+51,100
pop_size,209.0,3.493611480364627e+124,100
pop_size,237.0,1.769612145289572e+39,100
pop_size,266.0,6.499816763490567e+108,100
pop_size,294.0,1.8134692744347758e+39,100
pop_size,323.0,3.091701063070684e+66,100
pop_size,351.0,3.095505044441533e+31,100
pop_size,380.0,4.2825983735801535e+56,100
mutation_prob,0.02,1.3740874135016581e+47,100
mutation_prob,0.0004,1.917952608147232e+63,100
mutation_prob,0.0006819267379184,1.8837728645559588e+25,100
mutation_prob,0.0011625601897204,5.401952144993696e+38,100
mutation_prob,0.0019819521945248,1.8875001746873787e+25,100
mutation_prob,0.0033788654868068,1.3893973642690022e+24,100
mutation_prob,0.0057603467982089,2.2383989803798813e+27,100
mutation_prob,0.0098203362534547,1.9076733305279408e+63,100
mutation_prob,0.0167418746664529,2.97752581064864e+66,100
mutation_prob,0.0285418299448363,2.2163799724147717e+60,100
mutation_prob,0.0486585924712668,4.632117511437835e+35,100
mutation_prob,0.0829539880890912,9.349022660651923e+196,100
max_attempts,17.0,1.9974617199947683e+37,100
max_attempts,9.0,2.6462253794004088e+76,100
max_attempts,11.0,1.215261402896635e+45,100
max_attempts,14.0,3.790124493747138e+19,100
max_attempts,16.0,1.2133594864996066e+37,100
max_attempts,18.0,6.250392578741329e+66,100
max_attempts,22.0,4.559394189821403e+117,100
max_attempts,24.0,5.69686175048433e+46,100
max_attempts,27.0,2.116928573812127e+41,100
max_attempts,29.0,5.841003818196343e+46,100
max_attempts,32.0,1.3268886485346395e+173,100
max_attempts,34.0,4.910773287610208e+46,100
pop_size,351.0,96476250609109.34,100
pop_size,176.0,4.27105691227976e+21,100
pop_size,228.0,227234833995073.88,100
pop_size,281.0,7.426394863043274e+17,100
pop_size,334.0,3030164951678.469,100
pop_size,386.0,2.5041925071854025e+26,100
pop_size,439.0,2.146941508359656e+35,100
pop_size,491.0,2.416237051244578e+35,100
pop_size,544.0,1.1088944270224736e+21,100
pop_size,597.0,672933240786.929,100
pop_size,649.0,692504327738.5535,100
pop_size,702.0,15997204.498884084,100
mutation_prob,0.0033788654868068,2.203818573691256e+35,100
mutation_prob,1.141673197793455e-05,1.2133247508889613e+17,100
mutation_prob,2.4804335193320825e-05,221654706569.1653,100
mutation_prob,5.389064450069734e-05,757354102124067.0,100
mutation_prob,0.0001170844347194,2203895320.457572,100
mutation_prob,0.0002543811635688,3.100065535727117e+32,100
mutation_prob,0.0005526761651428,2.254762384260875e+35,100
mutation_prob,0.0012007608552129,6.323038120522898e+17,100
mutation_prob,0.0026088091405916,235240592505025.7,100
mutation_prob,0.0056679771850387,2.4509217567226158e+39,100
mutation_prob,0.0123144176667648,7.159858005563128e+28,100
mutation_prob,0.0267546741140407,7.650475268815974e+80,100
max_attempts,14.0,2.3335006427686697e+18,100
max_attempts,7.0,1.5175046335326776e+18,100
max_attempts,10.0,7.979042972849322e+18,100
max_attempts,11.0,66646077242705.6,100
max_attempts,13.0,1.0308224530330048e+46,100
max_attempts,16.0,5.2801658562110505e+202,100
max_attempts,17.0,3.6673811070352114e+27,100
max_attempts,20.0,4.367635589410557e+25,100
