time,attempt,steps,value,string
1.911020040512085,1,85555,65.0,1111010100111111110111100011111101111111101010110101111101111110000100011010011101111100000100110110
1.6459100246429443,2,85524,65.0,1111010101101111110100110111010100111001001100011110101011010111001111110101111011010111011011001111
3.169062614440918,3,85549,65.0,1111000101011100111001011111010111111110110111011110111000000011101001011011001101111111110011001111
2.2968547344207764,4,85538,65.0,1010010111011110101110111111001000111001111011111100101101110011111011001011101011111000010100111111
3.069319725036621,5,85511,67.0,1011111111011110101011111011101101111110101110101100011011010101111101000011111100110101101111010001
3.1374335289001465,6,85527,69.0,1011110110101111111100011111101110000111011111000010010110111111101100010011111111101111101111101011
3.1503846645355225,7,85545,69.0,1111110101111001111111011101000110101110010011011101010001101010111001111011111011110111111111110011
3.074460506439209,8,85550,65.0,1001111111001011110111111001100010100111010000101110111111111101010101010111010101110011110111101110
4.53576135635376,9,85536,65.0,1111111100110110111111111111011101111110000111001111110011100011111101000000001101101110000111000111
2.282099485397339,10,85529,69.0,1110011110000100111111111111111100010111001111001011111010101100101110110101111111010011111010111111
3.1807093620300293,11,85526,65.0,1010110101111110110101111001100101111010110011111111100011110001011111110011011111100011110111000010
2.388690948486328,12,85503,65.0,1010111101100011111100011101011100111110001101100101111111100010000101101111101101101111110011111011
3.1099586486816406,13,85510,67.0,1010011100110111101010110111101101011011001011101001110110111101111110101011101110000111111111111001
2.147734403610229,14,85512,67.0,10111111111010101111111110011100001100111000110111111110111000101110101111111101001001110011111101
3.168456792831421,15,85518,67.0,1110111111011011111101001110101000110111000111010011111100100101111001101101111111111100001010111111
2.1331801414489746,16,85527,67.0,1111110001111110011110111011101111110010110100100110101111011100011111011011111101000111010110100111
4.44289231300354,17,85538,67.0,110000111010001111111101111110111110100111000101110100111111111101110111000111111111111111100000010
3.159838914871216,18,85519,69.0,1000110111110000111101101011111011111011011101100111111101111011110100111111000011101111011101111100
3.4267032146453857,19,85541,65.0,1101101000101001110010110011101101001011011111111101010111111011110101011001111111010111001111111000
3.752660751342773,20,85544,67.0,111011111011110011100111110101111110111011110001101011111101100010101011111001110011011111101110
3.86352014541626,21,85505,69.0,1011011001111110111111011101011000001001010111110111111111011111010010101101111011011010111111101011
3.04963493347168,22,85514,65.0,1100001101111110111011011101111000101101111100001101111110111001110110110100101011111100111110111000
3.804101705551148,23,85547,65.0,11101001011011111101110111111111111111110101011110010001110111000001110011011001101111110011100001
4.589578151702881,24,85492,67.0,10111101110101100000111110010101101100111111110111111101111111010010101111011011111111000001011111
3.655857801437378,25,85540,67.0,110111100011111111101111010000111111101011010011010010110100111110111111111111111100100001101100111
3.1042044162750244,26,85531,65.0,1001001111101000110011101111011111111101111111110101010101100111010111001111001101010111000111001011
3.556785345077514,27,85549,67.0,1111101001010011111011101100111011110011111111011010111000110110111110010100111011001110101111011110
3.845688581466675,28,85506,65.0,1110111111100011101001010110110110111111010011011001111101000110011111001101101001010111111011101110
3.2053780555725098,29,85536,67.0,1110101101110111010111101111111011101111100111111000001101011111001011011001110101111010100101111001
3.282919883728028,30,85513,65.0,1110110011011011011110101110101011100011110011111111101101011010100110100011011100110101110111110101
2.781333923339844,31,85502,65.0,1111101000111101111110111010010101111011000111000101011010101011101011111110111101011101000101011111
3.776611328125,32,85516,69.0,110011001111111111011111110111110110011010101111011000011100011110011011110011011111011110100111111
2.557297945022583,33,85486,67.0,1110111011101101111101111111111111111101101111100101011110000111101011100111000010100000111001010111
2.7961645126342773,34,85523,67.0,1111001110101111011110001110101001110011010111100001110101110111111111111011111110111101110001000110
2.258716583251953,35,85514,65.0,1001111011000111010010011111111111110101111110111011011111100100110101001111101011011000010111110100
2.039055347442627,36,85518,65.0,1101011110110110010101111110111110110010010111110011101111011010100010111101001111111011010100110101
2.488730430603028,37,85556,67.0,1000111101111110000010111110111110001111001111110101110110001101011111010010110100111101111011111111
2.12125301361084,38,85527,67.0,1100111101101111110101100111101100100010111111110111111011110101111011010111110010010011110111101
2.1292240619659424,39,85532,67.0,111010110111001111011111001100110111011101111111011001101101001101111111101001111001100111010100111
2.154680728912353,40,85552,69.0,1110110001111011001011101111011001011111111101111111100010110111100110101001110101111101010101111111
2.082440137863159,41,85506,69.0,1101101100101011101111111001111111001111111001110111100111000011010110111110110111011101110011110110
1.8463363647460933,42,85525,65.0,1101101111100101110101100001111110001111110001110011111000110101010001011110111111011111101111101100
1.9797642230987549,43,85567,67.0,101110111101000111111100111001010111100111100000011111111011110010101111111111111111110010101000111
1.8323607444763184,44,85527,67.0,100111111100001111111010101111111010110011111110111101100111010100111001100111110101010111101110011
2.334174633026123,45,85512,67.0,110111001111101010100101110101101001011111111011111111100000001111011111110010111111011001111110101
2.803905725479126,46,85525,67.0,1111101010101101111011110011001011111011110100111011110011011101010000101111100011011111101111001111
2.3288793563842773,47,85536,65.0,1111111011111110011101110011111011111101101110001100101011011110010100001110111100010011001101111010
1.8867292404174805,48,85503,65.0,1110111001110011110010110111111101011010110100111011111110010100000111010011111011101111001010101111
2.268007755279541,49,85529,69.0,1011111010101011111111111101000100111011100110011110110100100101111110111100101111110111111001111110
1.777839183807373,50,85525,65.0,11010101001111010111111011111011110111000101101110101011001101111100100010001111111011010111101111
2.8728928565979004,51,85511,67.0,1011011011101001000011110101011101101000011101011101100111110110010101111010111111111111100111111111
2.397324800491333,52,85504,69.0,1110100101100111011111101010110111011101011110111111010101010111111011111110010010110101101111011011
2.224542617797852,53,85511,65.0,1110011110000110100111101111111111011101111001010110011001100110011011001010110011111011011101101111
1.8245668411254885,54,85512,67.0,1110010111001111111111011010001110000111011010111011111011011111101111110000001011110111111001100111
1.985374927520752,55,85540,67.0,110111110110110111111110110011011001111110101111111001101000011001111011010001101111111010101111010
2.2483997344970703,56,85541,65.0,1111011111011011111111101111011010000100110111100111001101111001011000100101100101101111100101111110
2.015236616134644,57,85547,65.0,11101101111101001011011001001000110101111101101110011101111011111101111111101111001110001111001010
2.484978675842285,58,85515,67.0,1100110110111111000001011011111011010010111101101111111011011011101111001101110100101110111100111101
2.4007787704467773,59,85509,65.0,1101110100111011111101011011101101111100011101110110111100000011110110110101001011101001001111111110
2.3905482292175293,60,85541,67.0,100100101111111011101010111110101110111101110000110110100111001111111110101111111101011001100111101
2.4739248752593994,61,85535,67.0,1111101111110011111010001111101100010011011010011111110011001110110011101111111101110100101101001111
2.884351968765259,62,85509,69.0,1111011101100101111111110001001110110101010001111111011101001111111111110011101110110101110101101011
1.7077689170837402,63,85546,67.0,1111100011111011100000111111101001111111001111111100000000111110011010111111000011111111111110111100
1.8906261920928955,64,85536,65.0,1100011111101111001001101010111011111011001111111001101011101100011011110011111101111000011001100111
1.8637235164642327,65,85526,65.0,1101101100011110110010001001011011100111010100111010110001101101111111111111110110011111100111100111
2.02138614654541,66,85543,67.0,1011101001111101011100111111000101111110010011110001011111111010111100111011010011011111011011011110
1.862034797668457,67,85489,67.0,1001011111101101110011001101110011111111101011101001111111111110001110010101110110110101100101101011
2.224107265472412,68,85505,67.0,101100010111111111110000111111101110110111010000001011101111100111100111011111111101110010101011111
2.155545949935913,69,85533,65.0,110110101011111001010110101110101111110101110101111110111101111111011101010110011111100001000100110
2.3140194416046143,70,85509,67.0,111010111100110010011101111101100111011110100011101001101111111100000010111111110111001111110111111
1.9333481788635247,71,85565,67.0,1011000110110111101010110001100011001111111110101011010111111101110001110111111011101110111110111010
1.7309532165527344,72,85495,65.0,1001110111100111110111111110011101101000000101111111101101110111010110101101110111001011011110101000
1.924069166183472,73,85557,67.0,1001011111001001111111011111101111111101011010111101001111101010110111011100111010100100111111011
2.2335000038146973,74,85516,65.0,10101011111111001101000110111111111111100101011110101101100110111111000100100100101101111101111011
2.237988471984864,75,85493,65.0,1110110101101110101111101010110101011101111011100111110010101101110011011011011011111110110000010011
1.829829692840576,76,85548,71.0,1011110111011111110011110110001011110010111011101111011101010100101110111100011111111111101111001111
2.024972915649414,77,85519,73.0,1110111111101111110110111111110111101011011010001111010111111111010101011111110001100110011111100111
2.982823133468628,78,85539,65.0,1000101101101010100011111011101010011101111011010101110101111011100000111111010111101111010111011111
2.360015153884888,79,85567,65.0,1011110111110110100111110110110111010111011011000101111101101100111111101001111100110110101000000111
2.328061103820801,80,85536,67.0,1111110000110101111111100011011101010011110101101111100111011010111110101101011110101101110000111111
1.990630388259888,81,85486,65.0,1111010110011011111111101010011100101110011111111100110110011100001101100011101101111001111110011100
1.998562812805176,82,85527,67.0,1001111111010110011100101010011100111011011001111011110110001110110111111110001011111110101111011101
1.7976179122924805,83,85548,65.0,1111101111100100110111111000111001001100110111101110110111111010110110111001001011101100110101101110
1.919111013412476,84,85543,67.0,1111110100010111111111101001111010010111011101000111101111111111011110111010100111110000110010011101
1.7801108360290527,85,85549,71.0,1101100011111110011011011011111100011101111100110111111011111011111110110001011111111111001010110101
1.9091205596923828,86,85539,65.0,1011111100100001011010101111101111101011010111010011111100001111111011100110111111110100111110000110
2.0664937496185303,87,85508,69.0,1111110011001111011010101111111111101101001101011101101011011111110011011100101111111001011011010101
2.350473403930664,88,85517,69.0,1001011010111111001100110101100000111111111101101110110111111111100011111111111010111000110101110111
2.277953863143921,89,85539,67.0,111100111111010011101011100011011101001101111100101101001101011101110111111111111001000111111101011
2.093195676803589,90,85528,67.0,1011011011110010000011010111010101110010110111111001111100100111001111111011110111111110101110111101
1.9630427360534668,91,85538,67.0,1011101010011001101011010101011011110001011111110111110111110111010101111111111010000111111011001101
1.9068055152893064,92,85540,67.0,1010011100100111111111111000101011110100011111100111011111110011111011110110110011111100011001111100
2.2799737453460693,93,85530,65.0,1111011000011110111111010111101111110101010111001000101101111010111101100010100100011111101110110111
1.971362352371216,94,85501,67.0,111111011111101110100110101101011001111011111111110100111001111010001111110010001001000111011111111
1.8843064308166504,95,85511,69.0,1110011110110011111110101011111101001111111110110010111111110101001100111011000100111101111001110111
1.7731218338012695,96,85531,69.0,1001101111101101111101111001101011111101110101111101000111110111100111110110111111010011010100011110
2.042986392974853,97,85530,65.0,110101101011110101111010110010111110111101101010111110001111111101001111110100101110101100010111001
1.9906044006347656,98,85555,65.0,11100010011110100011111010110011111101110010111111010110110111111011110111010011111010111100100110
1.905567646026612,99,85564,65.0,1111101111001010111101101011011111011000101111101010111110111111110100011101010110111001101001010100
1.9353954792022705,100,85532,67.0,1100011111110000110011001111000101111111111101110101011111111111110100010001000111100111111001111111
1.980318069458008,101,85535,65.0,1001011100100010111111111101111001111011111110111011010010111110100111100101100101001111010110110011
2.0673060417175293,102,85509,67.0,101111101111111101111010011010111000111110000110111011110110110010101111111110011010011111101110010
1.97161865234375,103,85552,67.0,111011101100110111110010011111101011111111001101110010101111111010101110111101100101101101110011100
1.9460344314575195,104,85556,67.0,1001000111111101101011110000111100100111111101101011111011011110011011111111100101001010011011111111
2.554337501525879,105,85508,65.0,1011001111111111011011101110001110010111111000011011101101110110011000111011011111011100110001010111
3.1249828338623047,106,85511,69.0,1110001111101111111010110100100001111100001111101111010011111011100111011111111001011111011011110111
2.2919654846191406,107,85545,67.0,1111001000010111100011101111001011101111110111101110010001101101011111111111111110011011010101101011
2.00225043296814,108,85524,71.0,111010001111111010011100111101111111011111011101111010101111011111110001010101110111011101110101111
1.9049701690673828,109,85525,67.0,1101111111001011110010011110101101110101101111111111111010011011111011001001101110101110100101000111
2.2201039791107178,110,85501,67.0,1111111100110011111111111111111100111100000111111100101010100111011111101000111110010100011111010100
2.331144332885742,111,85527,65.0,1110011111001100011111110001101011010111111100000010100110101101111010001111110111111101011011111011
2.3126261234283447,112,85486,67.0,1110100011100011110101100111011101101101111111110111001011011110100111111000110111001111100111111100
1.884481191635132,113,85524,65.0,1001110110000111010011011100111111110110110111110101101111011110111111110011011000101111001010001011
1.7272884845733645,114,85535,67.0,1110101111011111111111110001101000110110101000110011001110110001111111110110011101011000111111011111
2.4250166416168213,115,85499,65.0,1111100001101111011000011110110101111010101111010111110101101000010111101101010011101101111011111101
2.017737865447998,116,85526,71.0,1111011110000111110010111101010111111111011101111100101111111111111110101101011010010111011010110011
2.082080841064453,117,85518,65.0,1111110011111001010111100011100101100010111011011001011011101110100111110111111010101101011111100101
2.2416224479675293,118,85499,67.0,1001110001101011111101110111100100111101111011111100111111101011011111001110111111101100000101110010
1.9921042919158936,119,85516,65.0,1110011101101101011011011110011101101110110011001011011011111011101110111001010111001101010110011110
2.340121030807495,120,85527,67.0,1011000101000111100011111111011110011011000100011100011111111101111101001101111111110111101111011101
1.8477749824523928,121,85487,65.0,1111001110100111001011111010100111111001101010101010101001111110100011111111110111101111101110010001
1.8986563682556152,122,85548,65.0,111111110000110110101101000110111011111100110011001100111111011111111110100100111111111010110011
1.7084803581237793,123,85514,67.0,1111001111001110101111011101101111110111111000011111001111110101010000110110101010110110111110011011
2.13355040550232,124,85517,67.0,1110011011110111111010111111001111011101110111101000000111110001101111100110011110001110110110111011
1.983016014099121,125,85515,65.0,1111010100010111111110101101111111101010110111100111110011011111101000010111001101111010011011000110
1.848982095718384,126,85534,67.0,1001111001011111101001110001001100111100111111111001110001100111110111111110100100111111011110111011
2.171064138412476,127,85540,65.0,111111101011100111100101101111011111110110110111011001111100001101000101100111111110011101011001010
2.1252593994140625,128,85511,67.0,110011100111011110011111011111111001010011110011101011111011101110110110110001001110111101111110001
2.4168057441711426,129,85530,65.0,1011011011111010111100100010101101110011011011100101011111001111010010011000111111010111011111111101
2.2965807914733887,130,85529,67.0,1101100011100111111110111010010111111110011010001011011111111001000111110100001111011111101111100111
1.9662261009216309,131,85497,69.0,101111110111111000010011111100111110010100110111111101101011101111011000101111101111111011101110011
2.654710054397583,132,85530,69.0,1111101100111101101110101001100111100111111111101111111110111010101110011101101000101001111000111111
2.5049047470092773,133,85521,65.0,1111011011000111011100011011111111001010001011101111001000011110111101111110111010111101110101101100
2.040776252746582,134,85558,63.0,1001110011011101100001101101011010101111101010110111111010001101001101100011111111011010110110111110
1.858842134475708,135,85549,67.0,1110111101001100111010101111011011111110110101011110111011001000111111111100110101000101111111010101
1.925851583480835,136,85528,65.0,1010110111000011111011110011100000111111110101111110100110111111111110101111101110110001110010110000
3.1373772621154785,137,85533,67.0,1111111111111011111110111110110110100010010110101110101100110011011001010010111011101110111110101001
1.842329978942871,138,85527,65.0,1001111111011000111111101111010111110100011110011101111111001101111111010010101000100100101101101011
1.727212905883789,139,85527,69.0,101111111000111011111101110101110100010111110100111000110011111110111010111110111111011110111011010
1.8769772052764893,140,85488,65.0,1110110000111101110111010110010100111101101111111110101010001011010101110111111100110111101011110010
1.73344087600708,141,85525,67.0,1011111001111100011010110001110110010110111110101111001011111111101011110111111000110110010101111011
1.9592161178588867,142,85540,67.0,1110101001011111111001111101111110111111001111111010101111101110101001000011110111101000110011100101
1.9947113990783687,143,85550,65.0,1101100011110110101100110000001100110010111101111110110111111001010010011111111110010101111011111111
2.25460147857666,144,85527,67.0,1000111111111011101111001110110000101111101100100010111100011101110110111110111010111100011111111011
1.9280481338500977,145,85535,65.0,111001111010001100011111001111011111110111110111101110100101010011001101010011101101111110101101011
1.9264459609985352,146,85546,65.0,1011111111011111011010010110010111100101111110111010001101111011001010000011100011110101011111011111
2.313213586807251,147,85544,65.0,1111111111001001101110001110101011110010111101011110100001011010111111101110101111101101101100110001
1.86626935005188,148,85524,67.0,1110100011111010111111110111011001000101011111110100111110111101111111010010011011010110001111110011
2.0353667736053467,149,85530,67.0,111000001011110101011111110111100010101101110001001111111011011110111111110111000111011110111111001
1.759009599685669,150,85506,65.0,111001110110010111010011011101110110111110111111010101110011011000011111011100111010101101101001111
2.1342034339904785,151,85554,65.0,1000001111101011111000111111101111011101110101100101111101011000001110011010110110101111101110111101
1.936187744140625,152,85538,67.0,1010011101011111110111011001110011100111110001110011010110011011011010011111101001111100111110111111
2.0430006980896,153,85528,67.0,10101110101011011110111101111001111110011001011010111111111011111111000110111010100111010101011110
2.144591808319092,154,85550,67.0,1101111110110101111001110101100111010101011110011001111011111010110111111111101110010000000101111111
1.6880342960357666,155,85503,69.0,1100111110101111010110111100101111111101011110111111011111110010000011100110110001111011011111100111
2.0427703857421875,156,85530,67.0,1111001111010111010001100111110111110111111110111101101001100110100100111111101010111011101111001010
2.2998158931732178,157,85531,65.0,1011010111111101101110101111111100001101100110110101001101110011010100010111101111101101110000111111
2.3077495098114014,158,85517,67.0,1000110011111101111101100001111101001010111100001011100111101110100111110111011111111110010101111111
1.934399366378784,159,85510,65.0,10011110101110110111101001111100111001110111011101111111011111001101100010110100101010011111001111
2.3599369525909424,160,85571,67.0,1011100111101111001111101111001100010010011110110011111011010100011111111111110110110011101101101110
2.928033828735352,161,85515,67.0,1011001010111001101101101011101011110001011111111111111111100001011101101111010111001101110110011101
1.907456398010254,162,85518,63.0,11011010010110011110111011111100111010000110111111010101001111010111110011100011101010101011111011
1.967595815658569,163,85522,69.0,1101101100100000111011100110110111011111111111011010110100111001110111010111111110111111110101011101
1.8342351913452148,164,85530,69.0,1111101111011111110010011101100101100111110111011111011101101011010000101011110011110110011111111101
1.901716947555542,165,85546,67.0,1011110000111101001010111000111100110111011111010101111111011010100001111111111111111001111100001111
2.598927021026612,166,85531,67.0,1101011111110011011100100101011101111001111111110101111011011111001000111000111101111001101111100011
1.9340686798095703,167,85497,67.0,1011111100010101111110011111111001011000010010101111001101111001111011111101011000110111110011111111
1.8518686294555664,168,85512,67.0,1111100010111111101101111110110010111011100111001011101010001111110101010101111011011110110110001111
1.7282507419586182,169,85529,65.0,1110011100001111011000110111000111111001010111010000110110110110101110111101111111111001110111111010
1.9679629802703853,170,85535,69.0,1101101110111101000000011010110110110001100111011110111111111111011111111011110111111110110011110100
1.8383283615112305,171,85550,65.0,110110100000010111011001011101000100111100110111101110011101011010101011101110111111111111101111111
1.931844472885132,172,85550,65.0,1111110101101100110110111100010001011111111111111110110011010110001011110110101000111011101011110001
1.932247877120972,173,85527,69.0,110111111100110111110011000100111011111100011001101010111001011100011111111111011111011111101101111
1.916789531707764,174,85516,65.0,1011010101000111010111011100111111101111111001110001011111010111011101010101001111001010001101111111
2.263833284378052,175,85531,65.0,1111010001111111110001111011011110110011011110100101100101011110010011001100111110111011110110110110
1.7934002876281738,176,85534,65.0,1111010100101010111101111001010100011011111111001001101011011111101111100100111101111111010010001111
1.954749584197998,177,85533,65.0,1100100110011011011001111110111001100010111110011111011101000011010111110010101011111111101101111101
1.638575315475464,178,85544,67.0,1111011101110100010111101001110111100111111100111011101100001101111010111101111011111110111010000101
1.8646042346954343,179,85491,67.0,1011010001101110010110111101100111110111100011101001111101101111110110100101110111001001111111111101
2.1097183227539062,180,85533,67.0,1011001000111010010101001110101111001111101111111111110111110100010010111101011111011011111111001110
2.0124831199646,181,85543,63.0,10111111111110110111001110110111001111111101010011110100001011000100111011101101011111001011101
1.8762297630310056,182,85488,65.0,1111110010011000010111111110010111101011001111001111111101010111111110100100010010011111101101111100
1.850315809249878,183,85542,65.0,111110011101011010111100010101011011110011111011101001011111011111011011010101001101101110110011011
1.9644434452056885,184,85544,67.0,1101111111010000101111101010110101101111000011011010111110011011111011100111001101110011110011111111
2.054827928543091,185,85541,67.0,1110100111010111010111111010011111101011011011011001100100100111110110111011011111000111101110111110
2.0795631408691406,186,85520,67.0,1001111011111100011011011111111010000101010111101111011110111010010110110000110111111111111110100011
2.0984671115875244,187,85550,67.0,10011101111111001011111110110111101111101111101100110111111101110110010101011110111010001100011001
2.8190929889678955,188,85524,65.0,1001101101101000111111001010101011110110111011010110100111111111011111000011110111001011100001111111
3.1012744903564453,189,85513,65.0,1111111111101011101101110001010010111111111111001110101110011000011110100111010111010000111010111100
1.9378845691680908,190,85534,65.0,101101101001011111111111110010110110011111100110111110111000010011001110110011111110011001101010111
1.9345362186431885,191,85580,67.0,1010111110101011001101111011011000101001111111011001011101111111011111001110101111001110111011100101
1.9445734024047847,192,85530,65.0,1111011111010111111001011111100011000110111110110100101111101101010011101111000100101101101110110101
1.892627477645874,193,85572,67.0,1111110110000011101100010011101000110011010111111110011011100011011101111111011111100111111111100111
