parameter,value,score,string_length
max_attempts,6,1.423985554784469e+109,100
max_attempts,3,3.943369811415807e+73,100
max_attempts,4,2.543044549635109e+124,100
max_attempts,5,6.509498004719214e+90,100
max_attempts,5,9.086738556780731e+196,100
max_attempts,7,4.9096818566603503e+151,100
max_attempts,7,9.571662787060527e+37,100
max_attempts,8,6.3093931756905e+55,100
max_attempts,9,1.1467027398485736e+111,100
max_attempts,10,3.9725012620755766e+73,100
max_attempts,11,3.988925852057009e+73,100
max_attempts,12,1.1623272248868896e+111,100
restarts,1434,3.087400937345425e+147,100
restarts,717,3.938276446099626e+73,100
restarts,932,3.078369583711026e+185,100
restarts,1147,3.279506963317017e+76,100
restarts,1362,2.2345966665208754e+214,100
restarts,1578,1.1453983705677292e+111,100
restarts,1793,6.5404146931148625e+90,100
restarts,2008,7.548495383580515e+80,100
restarts,2222,2.5492527760483696e+124,100
restarts,2438,4.040463689023475e+73,100
restarts,2653,2.9583624968081736e+75,100
restarts,2868,2.2623617488384982e+214,100
max_attempts,7,3.0751541557139622e+147,100
max_attempts,4,3.9326586666941305e+73,100
max_attempts,4,1.4098549198969044e+109,100
max_attempts,5,4.092519285995052e+276,100
max_attempts,6,1.584269756416655e+65,100
max_attempts,8,2.2601301488059223e+226,100
max_attempts,9,1.4137685730817641e+109,100
max_attempts,10,3.068892457102683e+185,100
max_attempts,11,5.515199609630913e+195,100
max_attempts,12,6.524417735729527e+90,100
max_attempts,13,2.693975358298637e+57,100
max_attempts,14,2.5459966672825224e+124,100
restarts,717,2.898450906482085e+75,100
restarts,358,1.5820301297986816e+65,100
restarts,466,1.1933143672755533e+105,100
restarts,574,2.8938560297704617e+75,100
restarts,681,7.447481030925215e+80,100
restarts,789,4.840975461385106e+23,100
restarts,896,8.855440242683214e+107,100
restarts,1004,1.6403895424641807e+117,100
restarts,1111,3.0912981640946307e+185,100
restarts,1219,2.944684002300174e+75,100
restarts,1327,1.2450994613333906e+51,100
restarts,1434,2.9246013860067005e+69,100
max_attempts,13,2.5475547986708723e+124,100
max_attempts,6,1.4146592402567914e+109,100
max_attempts,8,4.1157016704260177e+276,100
max_attempts,10,3.0831300475823935e+190,100
max_attempts,12,1.1434784825888846e+111,100
max_attempts,15,1.2159594546022829e+169,100
max_attempts,16,1.139736234998346e+111,100
max_attempts,18,1.2009983561616217e+105,100
max_attempts,20,1.6386307494639173e+117,100
max_attempts,22,2.672367953482691e+74,100
max_attempts,24,2.2645213794530022e+226,100
max_attempts,26,9.873329584010682e+244,100
restarts,789,1.0992521913582437e+46,100
restarts,395,1.2139273202519e+169,100
restarts,513,2.2696913131813446e+226,100
restarts,631,8.403731128728027e+134,100
restarts,750,3.870695643796817e+173,100
restarts,868,3.880160192910519e+173,100
restarts,986,1.6773442388017923e+65,100
restarts,1104,2.306224660983145e+226,100
restarts,1223,4.113746804070648e+79,100
restarts,1341,9.947574349767815e+74,100
restarts,1460,1.6043828082537062e+104,100
restarts,1578,9.09001551296776e+107,100
max_attempts,22,1.2334112660284946e+169,100
max_attempts,11,1.1974018295720734e+105,100
max_attempts,15,8.848764454607847e+107,100
max_attempts,18,2.2956104651073653e+226,100
max_attempts,21,1.0533957811201176e+73,100
max_attempts,24,9.899827920469176e+74,100
max_attempts,28,inf,100
