parameter,value,score,string_length
pop_size,200.0,1.2880685091018678,100
pop_size,100.0,2.087690019607544,100
pop_size,130.0,1.0332401037216186,100
pop_size,160.0,1.3211072444915772,100
pop_size,190.0,1.1897270917892455,100
pop_size,220.0,1.325625777244568,100
pop_size,250.0,1.4396940231323243,100
pop_size,280.0,1.4283395528793337,100
pop_size,310.0,1.7580983877182006,100
pop_size,340.0,1.7454584121704102,100
pop_size,370.0,2.0385289669036863,100
pop_size,400.0,1.967225933074951,100
keep_pct,0.2,1.657468557357788,100
keep_pct,0.04,7563.772823603649,100
keep_pct,0.0498165999269799,93.78149593636508,100
keep_pct,0.0620423407071194,9.66991375369314,100
keep_pct,0.0772684616384988,7.748792226613011,100
keep_pct,0.0962313010104572,2.078292989730835,100
keep_pct,0.1198479055722682,1.964372539520264,100
keep_pct,0.149260379099504,1.2995118379592896,100
keep_pct,0.1858911147637337,1.589206290245056,100
keep_pct,0.2315115823541309,1.593257761001587,100
keep_pct,0.2883279969149453,2.402412295341492,100
keep_pct,0.3590880117514833,20.679951382250348,100
max_attempts,10.0,2.64020414352417,100
max_attempts,5.0,1.391998529434204,100
max_attempts,7.0,1.5282772302627563,100
max_attempts,8.0,1.7789124965667724,100
max_attempts,10.0,2.3484420776367188,100
max_attempts,11.0,1.9052186250686645,100
max_attempts,12.0,1.2615870714187625,100
max_attempts,14.0,1.2130341529846191,100
max_attempts,15.0,1.6065827369689942,100
max_attempts,17.0,2.032615280151368,100
max_attempts,18.0,1.8889816284179688,100
max_attempts,20.0,1.9074593305587768,100
pop_size,130.0,1.8371936798095705,100
pop_size,65.0,824.4746062767415,100
pop_size,84.0,28.05341445174724,100
pop_size,104.0,2.09282250404358,100
pop_size,124.0,1.4393551826477051,100
pop_size,143.0,2.226875591278076,100
pop_size,163.0,2.8784671068191527,100
pop_size,182.0,1.7335698843002318,100
pop_size,202.0,1.5528226375579834,100
pop_size,221.0,1.487776255607605,100
pop_size,240.0,1.483115267753601,100
pop_size,260.0,1.6561959505081176,100
keep_pct,0.15,2.147817516326904,100
keep_pct,0.0225,84700.38047009458,100
keep_pct,0.029142963344828,7725.620736452463,100
keep_pct,0.0377472138896885,452.6047446655062,100
keep_pct,0.0488918075891812,200.37193573062152,100
keep_pct,0.0633267625081732,71.45835713796107,100
keep_pct,0.0820235341565477,2.0469282388687136,100
keep_pct,0.1062403933038899,2.221653437614441,100
keep_pct,0.1376071061242392,1.273168158531189,100
keep_pct,0.1782346155451809,1.6196318864822388,100
keep_pct,0.2308571052272326,2.003272199630737,100
keep_pct,0.2990160069124603,2.2540952444076536,100
max_attempts,14.0,2.088952851295472,100
max_attempts,7.0,1.631908917427063,100
max_attempts,9.0,1.2156932830810547,100
max_attempts,11.0,1.9960538387298583,100
max_attempts,13.0,2.609988880157471,100
max_attempts,15.0,2.6324748039245605,100
max_attempts,18.0,2.8822051525115966,100
max_attempts,19.0,2.0452174663543703,100
max_attempts,21.0,2.2548492193222045,100
max_attempts,23.0,4.355780076980591,100
max_attempts,25.0,3.074513363838196,100
max_attempts,28.0,2.668073868751526,100
pop_size,124.0,1.832208633422852,100
pop_size,62.0,2614.3639512192763,100
pop_size,80.0,33.38212301917579,100
pop_size,99.0,1.6937504053115844,100
pop_size,118.0,0.9435793399810792,100
pop_size,136.0,1.5053884506225583,100
pop_size,155.0,0.7833172798156738,100
pop_size,173.0,0.88037588596344,100
pop_size,193.0,1.1892748594284055,100
pop_size,210.0,1.1394710302352906,100
pop_size,230.0,1.030171036720276,100
pop_size,248.0,1.0568435668945313,100
keep_pct,0.1376071061242392,0.9715220212936402,100
keep_pct,0.0189357156558876,43066.001687461896,100
keep_pct,0.0248164575500293,534.2527153239845,100
keep_pct,0.0325235431564437,137.4348146228832,100
keep_pct,0.0426241681479557,13.906374599821318,100
keep_pct,0.05586167846369,2.2472213983535765,100
keep_pct,0.0732102761501129,1.52019305229187,100
keep_pct,0.0959467148388608,1.042611312866211,100
keep_pct,0.1257442612222065,1.0687190294265747,100
keep_pct,0.1647958375320465,1.3009609937667848,100
keep_pct,0.215975407576633,1.2449814319610597,100
keep_pct,0.2830494833877222,2.1131801843643188,100
max_attempts,9.0,1.0719294548034668,100
max_attempts,5.0,0.7646569967269897,100
max_attempts,6.0,0.9661620378494262,100
max_attempts,8.0,0.7922820091247559,100
max_attempts,8.0,0.9467190742492676,100
max_attempts,10.0,0.9617037296295166,100
max_attempts,11.0,0.8728856325149537,100
max_attempts,12.0,1.1203315019607545,100
max_attempts,14.0,1.3133442401885986,100
max_attempts,16.0,1.29181969165802,100
max_attempts,16.0,1.4906180381774905,100
max_attempts,18.0,1.4467241764068604,100
pop_size,155.0,0.729525113105774,100
pop_size,77.0,35.8326907782946,100
pop_size,101.0,1.7435121059417724,100
pop_size,124.0,0.7807992696762085,100
pop_size,147.0,0.649055790901184,100
pop_size,170.0,0.6303952455520629,100
pop_size,194.0,0.6959948062896728,100
pop_size,217.0,0.6902058362960816,100
pop_size,240.0,0.8328661918640137,100
pop_size,263.0,0.8630665063858032,100
pop_size,286.0,0.8087437868118286,100
pop_size,310.0,0.9148536205291748,100
keep_pct,0.1376071061242392,0.6508949995040894,100
keep_pct,0.0189357156558876,465.4311249785882,100
keep_pct,0.0248164575500293,120.9399363746918,100
keep_pct,0.0325235431564437,16.505994866651054,100
keep_pct,0.0426241681479557,1.9919543504714965,100
keep_pct,0.05586167846369,1.293604803085327,100
keep_pct,0.0732102761501129,0.9973910570144652,100
keep_pct,0.0959467148388608,0.8568917036056518,100
keep_pct,0.1257442612222065,0.7680002450942993,100
keep_pct,0.1647958375320465,0.835391616821289,100
keep_pct,0.215975407576633,1.016833472251892,100
keep_pct,0.2830494833877222,1.3446041822433472,100
max_attempts,5.0,0.7896733283996582,100
max_attempts,3.0,0.5965121984481812,100
max_attempts,4.0,0.5287079095840455,100
max_attempts,4.0,0.6010570526123047,100
max_attempts,5.0,0.5382557153701782,100
max_attempts,6.0,0.7447743654251099,100
max_attempts,6.0,0.7286625862121582,100
max_attempts,7.0,0.9235965967178345,100
max_attempts,8.0,0.7790939569473266,100
max_attempts,8.0,1.028341388702393,100
max_attempts,9.0,0.9663824319839478,100
max_attempts,10.0,1.073309850692749,100
pop_size,170.0,0.5859032154083252,100
pop_size,85.0,23.169147125848145,100
pop_size,110.0,1.308480191230774,100
pop_size,136.0,0.8609746217727661,100
pop_size,161.0,0.7959142923355103,100
pop_size,187.0,0.6658935785293579,100
pop_size,213.0,0.6521944046020508,100
pop_size,238.0,0.6251580476760864,100
pop_size,263.0,0.7247460365295411,100
pop_size,289.0,0.6943619251251221,100
pop_size,314.0,0.7240874767303467,100
pop_size,340.0,0.7706947565078736,100
keep_pct,0.1376071061242392,0.5891179084777832,100
keep_pct,0.0189357156558876,7549.729279429453,100
keep_pct,0.0248164575500293,72.41960474113132,100
keep_pct,0.0325235431564437,16.102549996805976,100
keep_pct,0.0426241681479557,2.5276514530181884,100
keep_pct,0.05586167846369,1.4071098804473876,100
keep_pct,0.0732102761501129,0.8667481184005738,100
keep_pct,0.0959467148388608,0.785194993019104,100
keep_pct,0.1257442612222065,0.6012607336044311,100
keep_pct,0.1647958375320465,0.6777365446090698,100
keep_pct,0.215975407576633,0.8781503438949585,100
keep_pct,0.2830494833877222,1.6559125661849976,100
max_attempts,4.0,0.6448989868164062,100
max_attempts,2.0,0.5985649347305297,100
max_attempts,3.0,0.6322518587112427,100
max_attempts,3.0,0.5343897104263305,100
max_attempts,4.0,0.5643899202346802,100
max_attempts,5.0,0.5956626415252686,100
max_attempts,5.0,0.6087282419204711,100
max_attempts,5.0,0.7824415445327759,100
max_attempts,7.0,0.7296136856079102,100
max_attempts,6.0,0.7675222635269165,100
max_attempts,7.0,0.7348299264907837,100
max_attempts,8.0,1.010291290283203,100
pop_size,170.0,0.718586015701294,100
pop_size,85.0,3.482067513465881,100
pop_size,110.0,1.30329110622406,100
pop_size,136.0,0.816329050064087,100
pop_size,161.0,0.728166127204895,100
pop_size,187.0,0.5768416881561279,100
pop_size,212.0,0.5898391008377075,100
pop_size,238.0,0.62520911693573,100
pop_size,263.0,0.6474343061447143,100
pop_size,289.0,0.598314905166626,100
pop_size,315.0,0.6529470920562744,100
pop_size,340.0,0.6606693744659424,100
keep_pct,0.1376071061242392,0.732528567314148,100
keep_pct,0.0189357156558876,4764.49156009959,100
keep_pct,0.0248164575500293,64.91963263755778,100
keep_pct,0.0325235431564437,1.1980728387832642,100
keep_pct,0.0426241681479557,1.4271105766296386,100
keep_pct,0.05586167846369,0.6218976497650146,100
keep_pct,0.0732102761501129,0.5601279258728027,100
keep_pct,0.0959467148388608,0.5141998767852783,100
keep_pct,0.1257442612222065,0.5161396026611328,100
keep_pct,0.1647958375320465,0.5780410051345826,100
keep_pct,0.215975407576633,1.0224793672561645,100
keep_pct,0.2830494833877222,3.3934749603271483,100
max_attempts,3.0,0.6629341602325439,100
max_attempts,1.0,1.7772850751876832,100
max_attempts,2.0,0.7335623741149903,100
max_attempts,2.0,0.7070044040679931,100
max_attempts,3.0,0.5874484300613403,100
max_attempts,4.0,0.6615204811096191,100
max_attempts,4.0,0.5236979961395264,100
max_attempts,5.0,0.6281866312026978,100
max_attempts,4.0,0.6355924129486084,100
max_attempts,5.0,0.6269623041152954,100
max_attempts,5.0,0.6385030269622802,100
max_attempts,6.0,0.6604924201965332,100
pop_size,187.0,0.6280200958251954,100
pop_size,93.0,18.04690757913968,100
pop_size,122.0,1.0771934986114502,100
pop_size,149.0,0.6728796005249024,100
pop_size,177.0,0.5924045085906983,100
pop_size,206.0,0.5492884635925293,100
pop_size,233.0,0.6735392332077026,100
pop_size,262.0,0.5835766792297363,100
pop_size,290.0,0.6426672220230103,100
pop_size,317.0,0.6871731996536254,100
pop_size,346.0,0.681248950958252,100
pop_size,374.0,0.686717438697815,100
keep_pct,0.0959467148388608,0.5096107244491577,100
keep_pct,0.0092057720883696,1051346.7275926676,100
keep_pct,0.0126728500061466,2993039.701747438,100
keep_pct,0.0174456988220674,156.94569573764133,100
keep_pct,0.0240160979765929,135.31145095979426,100
keep_pct,0.0330610408848591,2.57181842327118,100
keep_pct,0.0455124902245004,0.9909129619598388,100
keep_pct,0.0626534044602288,0.6428982973098755,100
keep_pct,0.0862499298784549,0.6779078245162964,100
keep_pct,0.1187333787864721,0.5935041427612304,100
keep_pct,0.1634507443416882,0.6827484130859375,100
keep_pct,0.2250095642767626,1.0347191572189331,100
max_attempts,4.0,0.5054089307785035,100
max_attempts,2.0,0.4524415969848633,100
max_attempts,3.0,0.481258225440979,100
max_attempts,3.0,0.489070987701416,100
max_attempts,4.0,0.5817871332168579,100
max_attempts,4.0,0.5954486131668091,100
max_attempts,5.0,0.7122340440750122,100
max_attempts,6.0,0.7500077486038208,100
max_attempts,6.0,0.7076685190200805,100
max_attempts,7.0,0.708677101135254,100
max_attempts,7.0,0.7312825441360473,100
max_attempts,8.0,0.8986783027648926,100
pop_size,206.0,0.4129150390625,100
pop_size,103.0,2.476401734352112,100
pop_size,134.0,0.8419734716415406,100
pop_size,164.0,0.5808529853820801,100
pop_size,196.0,0.4256670236587524,100
pop_size,226.0,0.4683835506439209,100
pop_size,257.0,0.4999634027481079,100
pop_size,288.0,0.4943588733673095,100
pop_size,320.0,0.4555324077606201,100
pop_size,350.0,0.583222770690918,100
pop_size,381.0,0.5489692211151123,100
pop_size,412.0,0.5061832189559936,100
keep_pct,0.0959467148388608,0.4814111709594726,100
keep_pct,0.0092057720883696,2978545.334572435,100
keep_pct,0.0126728500061466,444.0703249337212,100
keep_pct,0.0174456988220674,492.4459627358081,100
keep_pct,0.0240160979765929,28.11715976381849,100
keep_pct,0.0330610408848591,1.7624245166778565,100
keep_pct,0.0455124902245004,0.4666975259780884,100
keep_pct,0.0626534044602288,0.578693437576294,100
keep_pct,0.0862499298784549,0.4588217496871948,100
keep_pct,0.1187333787864721,0.6354974269866943,100
keep_pct,0.1634507443416882,1.17474205493927,100
keep_pct,0.2250095642767626,2.246330189704895,100
max_attempts,2.0,0.5562669992446899,100
max_attempts,1.0,0.8803685426712036,100
max_attempts,1.0,1.188494372367859,100
max_attempts,2.0,0.52541081905365,100
max_attempts,2.0,0.455207896232605,100
max_attempts,2.0,0.4054852485656738,100
max_attempts,3.0,0.679052186012268,100
max_attempts,3.0,0.4805601596832275,100
max_attempts,3.0,0.4909371137619018,100
max_attempts,4.0,0.5569358110427857,100
max_attempts,4.0,0.606316351890564,100
max_attempts,4.0,0.6855510234832763,100
pop_size,206.0,0.4010639190673828,100
pop_size,103.0,8.17550591935417,100
pop_size,134.0,1.0727926731109618,100
pop_size,165.0,0.4720210790634155,100
pop_size,195.0,0.4026429414749145,100
pop_size,226.0,0.4311049938201904,100
pop_size,258.0,0.4672278642654419,100
pop_size,288.0,0.5791291236877442,100
pop_size,320.0,0.6150725603103637,100
pop_size,350.0,0.6400805711746216,100
pop_size,381.0,0.5220161437988281,100
pop_size,412.0,0.5234723091125488,100
keep_pct,0.0862499298784549,0.5249650716781616,100
keep_pct,0.0074390504040383,7920338837432.043,100
keep_pct,0.0103906163087369,18460.75021103131,100
keep_pct,0.0145132646522706,2980407.76069729,100
keep_pct,0.0202716417013431,35.890043460153144,100
keep_pct,0.028314749790175,10.510748638817631,100
keep_pct,0.0395490936299992,1.015535569190979,100
keep_pct,0.0552408486229034,0.4770500659942627,100
keep_pct,0.0771585661387656,0.5820975542068482,100
keep_pct,0.1077724994637739,0.5690465688705444,100
keep_pct,0.1505330156055563,0.835293197631836,100
keep_pct,0.2102594715725185,1.463575792312622,100
max_attempts,2.0,0.7328577756881713,100
max_attempts,1.0,0.7873085975646973,100
max_attempts,1.0,0.895930552482605,100
max_attempts,2.0,0.5953747510910035,100
max_attempts,2.0,0.5446233034133912,100
max_attempts,3.0,0.5647794723510742,100
max_attempts,3.0,0.5692905902862548,100
max_attempts,2.0,0.4100334644317627,100
max_attempts,3.0,0.5774917602539062,100
max_attempts,3.0,0.6661050081253052,100
max_attempts,4.0,0.6441904306411743,100
max_attempts,4.0,0.6266719818115234,100
pop_size,206.0,0.5037107944488526,100
pop_size,103.0,144.25731975141744,100
pop_size,134.0,2.0788719177246096,100
pop_size,165.0,0.6083905458450317,100
pop_size,195.0,0.4676071166992187,100
pop_size,226.0,0.3781332731246948,100
pop_size,257.0,0.3808059930801392,100
pop_size,288.0,0.4128658056259155,100
pop_size,319.0,0.3543058156967163,100
pop_size,350.0,0.3893957376480103,100
pop_size,381.0,0.4198230743408203,100
pop_size,412.0,0.420620059967041,100
keep_pct,0.0552408486229034,0.4229670047760009,100
keep_pct,0.0030515513565785,84744388189.68834,100
keep_pct,0.0045292953015325,7463.946276749203,100
keep_pct,0.0067226513767364,160.8205752143744,100
keep_pct,0.0099781618385192,22.85570851692386,100
keep_pct,0.0148101854604896,2.3941986560821533,100
keep_pct,0.0219821643428712,0.6984488487243652,100
keep_pct,0.0326272449785396,0.4938898324966431,100
keep_pct,0.0484273112640461,0.556110143661499,100
keep_pct,0.0718787160180808,0.4750365495681762,100
keep_pct,0.1066866956176382,0.591295313835144,100
keep_pct,0.1583507838251796,0.8024354219436646,100
max_attempts,2.0,0.5588168144226074,100
max_attempts,1.0,0.7476898193359375,100
max_attempts,1.0,0.6947612524032593,100
max_attempts,2.0,0.4702018976211548,100
max_attempts,2.0,0.5239512920379639,100
max_attempts,2.0,0.4804660320281982,100
max_attempts,2.0,0.4840536832809448,100
max_attempts,3.0,0.606300163269043,100
max_attempts,3.0,0.5313199520111084,100
max_attempts,3.0,0.6177691221237183,100
max_attempts,4.0,0.6605159044265747,100
max_attempts,4.0,0.6416121244430542,100
pop_size,319.0,0.4236266136169433,100
pop_size,160.0,0.8775365114212036,100
pop_size,207.0,0.5324028730392456,100
pop_size,255.0,0.4658785581588745,100
