time,attempt,steps,value,string
378.0744240283966,1,222,1674.0,1011110101000111110111110001010111100001000010010100101000000111100111111010010110110000101010101001
166.78442215919495,2,138,1768.0,11101100010111001011111000001011110100101111010101100011010010011010001110101011011110110110110111
215.89460253715515,3,174,1677.0,1110111001000100100010111000110111001101000011101011100000110101100111110000011101011010111110111111
301.2504949569702,4,189,1720.0,111110011101111100100100010001111111110000100010110011100111110011101111011110010101010111001111111
315.27181029319763,5,242,1656.0,1100001001011000001001101101110011110111100010101110000011011011010011110000011100111110011111111111
279.8218262195587,6,194,1697.0,1001101111010000010011101100010110100101011100111000000010111011111000010000110011110100111001111111
542.1883273124695,7,358,1726.0,1110101101010000110010010011010100000010011011101111010001001011011000000110101010111001111111111111
378.9961948394776,8,284,1726.0,1110000111111001111010101111101111000110011010101000111111111110101001010010011101100110100111101111
166.71480679512024,9,155,1648.0,1010011111011010001011011010000110010001010100010101101111001000010100110001010010110100100010100110
201.4314706325531,10,174,1770.0,1110111111110011110001011010001001000110010101011010111000101100010001111101110101010111100011011111
177.24270939826965,11,157,1677.0,1111010001100011101001000001101001010001100011001111001011000010001000101001000101101010101010001110
813.6551351547241,12,669,1964.0,1111111101100010111010001001011101111010000111110101101010001110000111111111111111111111111111111111
175.41693925857544,13,145,1639.0,100001101010001000001110010111011101011101100101000100010001100010111000111100000110111001111111100
329.5159404277801,14,243,1664.0,1110101001000110000000110101111010011001001010110001011110111010100010100010010000000000111111111110
285.5329797267914,15,237,1721.0,1111001100110000110110101110010000001011000111000111111011110100111011001100011100101111111111111111
231.0602948665619,16,205,1674.0,1011010110111011001000111000111101100110100110101011010111010111110010110010100101010100011010000001
338.21742057800293,17,277,1803.0,1010011110101101001101100010010101111100001101011010011000111101111111011110111111101111111111111111
334.2724106311798,18,289,1832.0,1101011110001011000101001100000011001101010101011100001001010110000100001100110101111111111111111111
268.60723090171814,19,223,1695.0,1110010101001001110101101010010011110011000111100001010010111011101010001111110010111111111111111111
236.85654735565183,20,204,1637.0,110111000111110010100101110010001111111101111110000101100001111011100010010000100001010110111111101
219.9468829631805,21,184,1671.0,1000100100001100111101110110100001010101010111001110001101001001011011001011010101010011110011011100
230.6454508304596,22,204,1721.0,1111110011111100011100100011010001010010111011001000101001101011001101111101111001101100001101111001
174.784973859787,23,152,1602.0,1111010100111000001010000000111001010101101110011000100111011110011010000010000110101010110011110011
